Priority,Company,Role,Location,Type,Salary,Status,Applied Date,Next Action,URL,Notes,Discovered Date,Referral Needed,Referral Status,Referral Deadline,Apply Via
HIGH,Google,"Software Engineer III, Wear Core Platform","London, England, UK",fulltime,,To Apply,,Review draft,https://www.linkedin.com/jobs/view/4415922691,,2026-06-10,Yes,Outreach Pending,,LinkedIn
HIGH,Apple,Senior Software Engineer (Front End Applications) – Apple Online Store,"London, England, UK",fulltime,,To Apply,,Review draft,https://www.linkedin.com/jobs/view/4426798444,,2026-06-10,Yes,Outreach Pending,,LinkedIn
HIGH,Adobe,Software Engineer 2,"Noida, Uttar Pradesh, India",fulltime,,To Apply,,Review draft,https://www.linkedin.com/jobs/view/4426057449,,2026-06-10,Yes,Outreach Pending,,LinkedIn
HIGH,Amazon,Software Development Engineer I,"Bengaluru, Karnataka, India",fulltime,,To Apply,,Review draft,https://www.linkedin.com/jobs/view/4417085673,,2026-06-10,Yes,Outreach Pending,,LinkedIn
HIGH,Apple,"Software Engineer, Apple Services Engineering","Singapore, Singapore",fulltime,,To Apply,,Review draft,https://www.linkedin.com/jobs/view/4426792958,,2026-06-10,Yes,Outreach Pending,,LinkedIn
MEDIUM,Spotify,Backend Engineer - Personalization - Tunesday,"New York, NY",fulltime,,To Apply,,Review draft,https://www.linkedin.com/jobs/view/4426569054,,2026-06-10,Yes,Outreach Pending,,LinkedIn
MEDIUM,Flix,Senior Python Engineer (m/f/d) - Network Planning,"Berlin, Berlin, Germany",fulltime,,To Apply,,Review draft,https://www.linkedin.com/jobs/view/4409046710,,2026-06-10,Yes,Outreach Pending,,LinkedIn
MEDIUM,Cohere,Senior Full-Stack Senior Engineer (Front-End Leaning),"London, England, UK",fulltime,,To Apply,,Review draft,https://www.linkedin.com/jobs/view/4426060369,,2026-06-10,Yes,Outreach Pending,,LinkedIn
LOW,On,Software Engineer - Operations,"London, England, UK",fulltime,,To Apply,,Review draft,https://www.linkedin.com/jobs/view/4405999706,,2026-06-10,Yes,Outreach Pending,,LinkedIn
MEDIUM,Grafana Labs,Backend Engineer - Platform - Stacks | UK | Remote,"London Area, United Kingdom",fulltime,,To Apply,,Review draft,https://www.linkedin.com/jobs/view/4416692041,,2026-06-10,Yes,Outreach Pending,,LinkedIn
MEDIUM,Sea,Backend Engineer,"Singapore, Singapore",volunteer,,To Apply,,Review draft,https://www.linkedin.com/jobs/view/4407580834,,2026-06-10,Yes,Outreach Pending,,LinkedIn
LOW,Adyen,Senior Platform Engineer,"Bengaluru, Karnataka, India",fulltime,,To Apply,,Review draft,https://www.linkedin.com/jobs/view/4406538142,,2026-06-10,Yes,Outreach Pending,,LinkedIn
MEDIUM,UST,Dot Net Fullstack developer,"Bengaluru, Karnataka, India",fulltime,,To Apply,,Review draft,https://www.linkedin.com/jobs/view/4417048639,,2026-06-10,Yes,Outreach Pending,,LinkedIn
HIGH,Amazon,"Software Development Engineer II, TFS","Bengaluru, Karnataka, India",fulltime,,To Apply,,Review draft,https://www.linkedin.com/jobs/view/4423133429,,2026-06-10,Yes,Outreach Pending,,LinkedIn
HIGH,Amazon,"Software Development Engineer II, TFS","Gurugram, Haryana, India",fulltime,,To Apply,,Review draft,https://www.linkedin.com/jobs/view/4423120644,,2026-06-10,Yes,Outreach Pending,,LinkedIn
HIGH,OpenAI,"Backend Software Engineer, ChatGPT ImageGen","San Francisco, CA",fulltime,,To Apply,,Review draft,https://www.linkedin.com/jobs/view/4426004278,,2026-06-10,Yes,Outreach Pending,,LinkedIn
HIGH,Stripe,"Software Engineer, Experimental Projects","San Francisco, CA",fulltime,,To Apply,,Review draft,https://www.linkedin.com/jobs/view/4426530189,,2026-06-10,Yes,Outreach Pending,,LinkedIn
HIGH,Databricks,Staff Software Engineer - Backend,"Berlin, Berlin, Germany",fulltime,,To Apply,,Review draft,https://www.linkedin.com/jobs/view/4347962410,,2026-06-10,Yes,Outreach Pending,,LinkedIn
HIGH,Amazon,"Software Engineer , Ring","Cambridge, England, UK",fulltime,,To Apply,,Review draft,https://www.linkedin.com/jobs/view/4416914961,,2026-06-10,Yes,Outreach Pending,,LinkedIn
HIGH,Amazon,"Software Engineer, Ring","Cambridge, England, UK",fulltime,,To Apply,,Review draft,https://www.linkedin.com/jobs/view/4416914957,,2026-06-10,Yes,Outreach Pending,,LinkedIn
HIGH,Google,"Software Engineer II, Android Performance Console","London, England, UK",fulltime,,To Apply,,Review draft,https://www.linkedin.com/jobs/view/4425874949,,2026-06-10,Yes,Outreach Pending,,LinkedIn
HIGH,Google,ソフトウェア エンジニア、Android、CI インフラストラクチャ,"Tokyo, Tokyo, Japan",fulltime,,To Apply,,Review draft,https://www.linkedin.com/jobs/view/4417069422,,2026-06-10,Yes,Outreach Pending,,LinkedIn
LOW,"Mercari, Inc.",QA Engineer - US App,"Minato, Tokyo, Japan",fulltime,,To Apply,,Review draft,https://www.linkedin.com/jobs/view/4417031707,,2026-06-10,Yes,Outreach Pending,,LinkedIn
HIGH,Google,ソフトウェア エンジニア III、コンテンツ取得プラットフォーム,"Tokyo, Tokyo, Japan",fulltime,,To Apply,,Review draft,https://www.linkedin.com/jobs/view/4416130267,,2026-06-10,Yes,Outreach Pending,,LinkedIn
HIGH,Microsoft,Site Reliability Engineer,"Bengaluru, Karnataka, India",fulltime,,To Apply,,Review draft,https://www.linkedin.com/jobs/view/4426793155,,2026-06-10,Yes,Outreach Pending,,LinkedIn
HIGH,Google,"Software Engineer, Google Distributed Cloud Hosted","Bengaluru, Karnataka, India",fulltime,,To Apply,,Review draft,https://www.linkedin.com/jobs/view/4415910457,,2026-06-10,Yes,Outreach Pending,,LinkedIn
HIGH,Google,"Full Stack Software Engineer, FrontRow Database Observability","Bengaluru, Karnataka, India",fulltime,,To Apply,,Review draft,https://www.linkedin.com/jobs/view/4405148737,,2026-06-10,Yes,Outreach Pending,,LinkedIn
HIGH,Qualcomm,Lead Engineer,"Hyderabad, Telangana, India",fulltime,,To Apply,,Review draft,https://www.linkedin.com/jobs/view/4425846206,,2026-06-10,Yes,Outreach Pending,,LinkedIn
MEDIUM,KLA,Software Engineer,"Chennai, Tamil Nadu, India",fulltime,,To Apply,,Review draft,https://www.linkedin.com/jobs/view/4413319896,,2026-06-10,Yes,Outreach Pending,,LinkedIn
HIGH,Google,"Application Engineer, Generalist","Hyderabad, Telangana, India",fulltime,,To Apply,,Review draft,https://www.linkedin.com/jobs/view/4415931450,,2026-06-10,Yes,Outreach Pending,,LinkedIn
HIGH,Google,Systems Development Engineer II,"Hyderabad, Telangana, India",fulltime,,To Apply,,Review draft,https://www.linkedin.com/jobs/view/4406908599,,2026-06-10,Yes,Outreach Pending,,LinkedIn
HIGH,Amazon,"Software Development Engineer, Amazon Traffic Engineering","Hyderabad, Telangana, India",fulltime,,To Apply,,Review draft,https://www.linkedin.com/jobs/view/4426566800,,2026-06-10,Yes,Outreach Pending,,LinkedIn
HIGH,Micron Technology,"STAFF DATA SCIENTIST, SMAI OI","Singapore, Singapore",fulltime,,To Apply,,Review draft,https://www.linkedin.com/jobs/view/4425811861,,2026-06-10,Yes,Outreach Pending,,LinkedIn
HIGH,Micron Technology,"Senior/Staff Product Engineer (GenAI, AI/ML & Advanced Data Analytics)","Singapore, Singapore",fulltime,,To Apply,,Review draft,https://www.linkedin.com/jobs/view/4415662481,,2026-06-10,Yes,Outreach Pending,,LinkedIn
HIGH,Micron Technology,"DATA SCIENTIST, SMAI","Singapore, Singapore",fulltime,,To Apply,,Review draft,https://www.linkedin.com/jobs/view/4415660480,,2026-06-10,Yes,Outreach Pending,,LinkedIn
HIGH,Amazon,"Data Engineer I, Data Engineer RBS","Bengaluru, Karnataka, India",fulltime,,To Apply,,Review draft,https://www.linkedin.com/jobs/view/4426374953,,2026-06-10,Yes,Outreach Pending,,LinkedIn
HIGH,Qualcomm,"Lead Senior Research Engineer, XR ML systems","Bengaluru, Karnataka, India",fulltime,,To Apply,,Review draft,https://www.linkedin.com/jobs/view/4331544639,,2026-06-10,Yes,Outreach Pending,,LinkedIn
MEDIUM,UPS,"Data Scientist – Python, GCP, Data Mining, Machine Learning, Computer Vision","Chennai, Tamil Nadu, India",fulltime,,To Apply,,Review draft,https://www.linkedin.com/jobs/view/4405995129,,2026-06-10,Yes,Outreach Pending,,LinkedIn
MEDIUM,UPS,"Data Scientist – Python, GCP, Data Mining, Machine Learning, Computer Vision","Chennai, Tamil Nadu, India",fulltime,,To Apply,,Review draft,https://www.linkedin.com/jobs/view/4405984981,,2026-06-10,Yes,Outreach Pending,,LinkedIn
